codpais,idprovincia,iae,descripcion
ESP,48,139320,BETAURREKOETARAKO OSKOLEN FABRIKAZIOA (PLASTIKOZKOAK EZIK) 
ESP,48,139900,LOJUEN ETA BESTELAKO ATALETAN BILDU EZ DIREN TRESNEN FABRIKAZIOA 
ESP,48,141110,OLIBAOLIOAREN FABRIKAZIO ETA ONTZIRAKETA 
ESP,48,141120,OLIBAOLIOAREN FABRIKAZIOA 
ESP,48,141130,OLIBAOLIOAREN ONTZIRAKETA 
ESP,48,141210,HAZI OLIOTSUZKO ETA OLIBAREN ZAPAKINAREN ERAUZKETA ETA ONTZIRAKETA 
ESP,48,141220,ITSASOKO ANIMALIEN OLIO ETA KOIPEEN LORPENA 
ESP,48,141230,"LANDARE ETA ABEREEN GORPUTZ KOIPETSUEN BIRFINKETA, HIDROGENAZIO, ONTZIRAKETA. "
ESP,48,141240,MARGARINA ETA ELIKADURARAKO ANTZEKO KOIPEEN LORPEN ETA ONTZIRAKETA 
ESP,48,141310,"GANADU HILKETA ETA ZATIKETA, OROHAR "
ESP,48,141320,MOTA GUZTIETAKO HARAGI EKOIZKINEN FABRIKAZIOA 
ESP,48,141330,"ZATIKETA GELA AUTONOMOAK, INDUSTRI ERABILERETARAKO ETA ABEREEN ELIKADURARAKO . "
ESP,48,141340,"TXITA JAIOBERRIEN TXITALDI ETA SALMENTA, ARRAULTZE EMANKORREN EROSKETAREN BITA "
ESP,48,141410,ESNEAREN PRESTAKETA 
ESP,48,141420,KONTSERBAKO ESNEAREN PRESTAKETA 
ESP,48,1414301,GAZTA ETA GURINAREN FABRIKAZIOA 
ESP,48,1414302,GAZTAGINTZA ETA GURINGINTZA (NEKAZARITZA ARLOKOAK SOILIK) 
ESP,48,141440,IZOZKI ETA ANTZEKOEN GERTUKETA 
ESP,48,141500,LANDAREEN ZUKU ETA KONTSERBEN FABRIKAZIOA 
ESP,48,141600,ARRAIN ETA ITSASOKO BESTE EKOIZKIN BATZUREN KONTSERBEN FABRIKAZIOA 
ESP,48,141710,IRIN ETA SEMOLEN FABRIKAZIOA 
ESP,48,141720,ERROTAGINTZAKO BESTE EKOIZKIN BATZUREN FABRIKAZIOA 
ESP,48,141810,ELIKADUR OREKIEN FABRIKAZIOA 
ESP,48,141820,ALMIDOIZKO EKOIZKINEN FABRIKAZIOA 
ESP,48,141910,OGI OPILGINTZA 
ESP,48,141920,"OPIL, GOZOKI ETA GAILETAGINTZAK "
ESP,48,141930,OREKI FRIJITUEN GERTUGINTZAK 
ESP,48,142000,AZUKREGINTZA 
ESP,48,142110,KAKAO ETA TXOKOLATEGINTZA 
ESP,48,142120,KONFITE EKOIZKINEN GERTUKETA 
ESP,48,142210,"ZUHAINAK, DESHIDRADATUAK, EZTITUAK, ETAB., ABEL ELIKADURARAKO "
ESP,48,142220,"ARRAINAREN ETA ANIMALIEN AZPIEKOIZKINEN IRINAK ETA BESTE PRESTAKIN BATZU, PEN. "
ESP,48,142230,ABELTZANTZA SARRIRAKO PENTSU KONPOSATUEN GERTUKETA 
ESP,48,142240,ETXEKO ANIMALIENTZAKO BESTELAKO PENTSU KONPOSATU ETA JANGAIEN GERTUKETA 
ESP,48,142310,"KAFE, TE ETA KAFE ORDEZKOEN GERTUKETA "
ESP,48,142320,"ZOPA PRESTATU, ATERAKIN ETA GOZAGARRIEN GERTUKETA "
ESP,48,142330,DIETETIKA ETA JANEURRIKO EKOIZKINEN GERTUKETA 
ESP,48,1423901,BESTELAKO ATALETAN BILDU EZ DIREN ELIKADURA EKOIZKINEN ELABORAZIOA
ESP,48,1423902,BESTELAKO ATALETAN BILDU EZ DIREN ELIKADURA EKOIZKINEN ELABORAZIOA (NEKAZARITZA JARDUERAK)
ESP,48,142410,ALKOHOLEN DESTILAZIO ETA ZUZENKETA 
ESP,48,142420,PATTAR NATURALEN FABRIKAZIOA 
ESP,48,142430,"ARDOTIK EZ DATOZEN PATTAR KONPOSATU, LIKORE ETA JANAURREKOEN LORPENA "
ESP,48,1425100,ARDOEN GERTUKETA ETA HAZKUNTZA 
ESP,48,1425101,ARDOEN GERTUKETA ETA HAZKUNTZA (NEKAZARITZAKOAK) 
ESP,48,142520,APARDUN ARDOEN GERTUKETA 
ESP,48,1425300,BESTE ARDO BEREZI BATZUREN GERTUKETA 
ESP,48,1425301,BESTE ARDO BEREZI BATZUREN GERTUKETA (NEKAZARITZAKOAK) 
ESP,48,142590,BESTELAKO ATALETAN BILDU EZ DIREN ARDOGINTZAK 
ESP,48,1426001,SAGARDOGINTZA 
ESP,48,1426002,SAGARDOGINTZA (NEKAZARITZA ARLOKOAK BAKARRIK) 
ESP,48,142700,GARAGARDO ETA GARAGARDO-MALTAREN FABRIKAZIOA 
ESP,48,142810,METALUR NARURALEN PRESTAKETA ETA ONTZIRAKETA 
ESP,48,142820,GASDUN UR ETA BESTE EDARI ANALKOHOLIKO BATZUREN FABRIKAZIOA 
ESP,48,142910,"ZIGARRO, ZIGARROTXO ETA BESTELAKO TABAKOKINEN GERTUKETA "
ESP,48,142920,"TABAKOAREN LEHEN TRANSFORMAZIOA, ZIGARRO, ZIGARROTXO, PIKADURA, ETAB. GERTUTU "
ESP,48,143110,"KOTOI-ZUNTZEN PRESTAKETA(HAZKAMAKETA, TXARRAKETA,ORRAZKETA) "
ESP,48,143120,KOTOI ETA BERE NAHASTUREN IRUINKETA ETA BIHURKETA 
ESP,48,143130,KOTOI ETA BERE NAHASTUREN EHOKETA 
ESP,48,143210,"ARTILE-ZUNTZEN PRESTAKETA(SAILKAPEN, GARBIKETA, TXARRAKETA ETA ORRAZKETA) "
ESP,48,143220,ARTILE ETA BERE NAHASTUREN IRUINKETA ETA BIHURKETA 
ESP,48,143230,ARTILE ETA BERE NAHASTUREN EHOKETA 
ESP,48,143300,ZETA NATURAL ETA BERE NAHASTUREN ETA ZUNTZ ARTIFIZIAL ETA SINTETIKOEN INDUSTR 
ESP,48,143400,ZUNTZ GOGORREN ETA BEREN NAHASTUREN INDUSTRIA 
ESP,48,143510,PUNTU-GENEROAK PIEZATAN FABRIKATZEA 
ESP,48,143520,GALTZAGINTZA 
ESP,48,143530,PUNTUZKO BARRUKO JANZKI ETA LO EGITEKO ARROPEN FABRIKAZIOA 
ESP,48,143540,PUNTUZKO KANPOKO JANZKIEN FABRIKAZIOA 
ESP,48,143600,EHUNEN AKABERA 
ESP,48,143710,ALFONBRA ETA TAPIZEN FABRIKAZIOA 
ESP,48,143720,EHUN LETATUEN FABRIKAZIOA 
ESP,48,143910,KORDELGINTZA 
ESP,48,143920,"FELDRO, TUL, FARFAIL ETA IPUREN FABRIKAZIOA "
ESP,48,143930,EHUNAK BERRESKURATZEKO ZUNTZEZ FABRIKATZEA 
ESP,48,143990,BESTELAKO ATALETAN BILDU EZ DIREN INDUSTRIAK 
ESP,48,144100,LARRU ETA LARRUAZALEN ZURRAKETA ETA AKABERAK 
ESP,48,144210,LARRUKI ETA BIDAIAGAIEN FABRIKAZIOA 
ESP,48,144220,LARRUAZALEZKO ESKULARRUEN FABRIKAZIOA 
ESP,48,144290,BESTELAKO ATALETAN BILDU EZ DIREN GAIEN FABRIKAZIOA 
ESP,48,145100,LARRUZKO ZAPATAK SALDOKA FABRIKATZEA (KAUTXUZKOA ETA ZUREZKOA EZIK) 
ESP,48,145200,ARTISAUTZAKO ETA NEURRIKO ZAPATEN FABRIKAZIOA (BAI ETA ZAPATA ORTOPEDIKOAK ER 
ESP,48,145300,JANZKI MOTA GUZTI ETA JANTZIEN OSAGARRIEN SALDOKAKO GERTUKETA 
ESP,48,145400,JANZKIEN ETA BERAUEN OSAGARRIAK NEURRIRA GERTUTZEA 
ESP,48,145510,ETXERAKO EHUNGAI ETA TAPIZEN GERTUKETA 
ESP,48,145590,BESTELAKO ATALETAN BILDU EZ DIREN EHUNGAIZKO GAUZEN GERTUKETA 
ESP,48,145610,LARRUKIGINTZA NATURALA 
ESP,48,145620,LARRUKIGINTZA ARTIFIZIALA 
