ES1467;"EUROHYPO A.G., S.E.";EHYPESMXXXX
ES1469;"BANCO SYGMA HISPANIA, S.E.";SHSAESM1XXX
ES1470;"BANCO PORTUGUES DE INVESTIMENTO, S.A. S.E.";BPIPESM1XXX
ES1472;"CREDIT AGRICOLE LEASING & FACTORING, S.E.";UCSSESM1XXX
ES1473;"BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, S.E";PRIBESMXXXX
ES1474;"CITIBANK INTERNATIONAL PLC, S.E.";CITIESMXXXX
ES1475;"CORTAL CONSORS, S.E.";CCSEESM1XXX
ES1478;"MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.";MLIBESM1XXX
ES1479;"NATIXIS, S.A., S.E.";NATXESMMXXX
ES1480;"VOLKSWAGEN BANK GMBH, S.E.";VOWAES21XXX
ES1488;"PICTET & CIE (EUROPE), S.A., S.E.";PICTESMMXXX
ES1494;"INTESA SANPAOLO S.P.A., S.E.";BCITESMMXXX
ES1497;"BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A., S.E.";ESSIESMMXXX
ES1501;"DEUTSCHE PFANDBRIEFBANK AG, S.E.";DPBBESM1XXX
ES1522;"EFG BANK (LUXEMBOURG) S.A., S.E.";EFGBESMMXXX
ES1525;"BANQUE CHAABI DU MAROC, S.E.";BCDMESMMXXX
ES1534;"KBL EUROPEAN PRIVATE BANKERS, S.A. S.E.";KBLXESMMXXX
ES1538;"INDUSTRIAL & COMMERCIAL BANK OF CHINA(EUROPE)SA,SE";ICBKESMMXXX
ES1544;"ANDBANC LUXEMBOURG, S.A., SUCURSAL EN ESPAÑA";BACAESMMXXX
ES1116;"BANQUE SCANDINAVE EN SUISSE";SCSIESM1XXX
ES1127;"STANDARD CHARTERED BANK";SCBLESM1XXX
ES1156;"THE BANK OF NEW YORK MELLON";IRVTESM1XXX
ES1168;"BANCO NACIONAL DE CUBA";BNACESM1XXX
ES1191;"SVENSKA HANDELSBANKEN";HANDES21XXX
ES1193;"PKB PRIVATBANK AG.";PKBSES21XXX
