codpais,idprovincia,iae,descripcion
ESP,48,135120,"FABRICACION APARATOS Y EQUIPO DE RADIOCOMUNICACION, RADIODIFUSION Y TELEVISION"
ESP,48,135200,FABRICACION APARATOS Y EQUIPO ELECTROMEDICO Y DE USO PROFESIONAL Y CIENTIFICO
ESP,48,135300,"FABRICACION APARATOS Y EQUIPO ELECTRONICO SEÑALIZACION, CONTROL Y PROGRAMACION"
ESP,48,135400,FABRICACION DE COMPONENTES ELECTRONICOS Y CIRCUITOS INTEGRADOS
ESP,48,135510,FABRICACION RECEPTORES RADIO Y TELEVISION Y APAR.REGISTRO Y REPRODUCCION SONID
ESP,48,135520,"EDICION DE SOPORTES GRABADOS DE SONIDO, DE VIDEO Y DE INFORMATICA"
ESP,48,136100,CONSTRUCCION Y MONTAJE DE VEHICULOS AUTOMOVILES Y SUS MOTORES
ESP,48,136200,"CONSTRUCCION DE CARROCERIAS, REMOLQUES Y VOLQUETES"
ESP,48,136300,"FABRICACION EQUIPO,COMPONENTES,ACCESORIOS Y PIEZAS REPUESTO VEHICULOS AUTOMOV."
ESP,48,137100,CONSTRUCCION NAVAL
ESP,48,137200,REPARACION Y MANTENIMIENTO DE BUQUES
ESP,48,138100,"CONSTRUCCION,REPARACION Y MANTENIMIENTO DE MATERIAL FERROVIARIO"
ESP,48,138200,"CONSTRUCCION, REPARACION Y MANTENIMIENTO DE AERONAVES"
ESP,48,138300,"CONSTRUCCION DE BICICLETAS, MOTOCICLETAS Y SUS PIEZAS DE REPUESTO"
ESP,48,138900,CONSTRUCCION DE OTRO MATERIAL DE TRANSPORTE N.C.O.P.
ESP,48,139100,"FABRICACION DE INSTRUMENTOS DE PRECISION, MEDIDA Y CONTROL"
ESP,48,139210,FABRICACION DE MATERIAL MEDICO-QUIRURGICO
ESP,48,139220,FABRICACION DE APARATOS DE PROTESIS Y ORTOPEDIA
ESP,48,139310,INSTRUMENTOS OPTICOS Y MATERIAL FOTOGRAFICO Y CINEMATOGRAFICO (EX.MONTURA GAF.
ESP,48,139320,FABRICACION DE MONTURAS PARA GAFAS (EXCEPTO LAS DE PLASTICO)
ESP,48,139900,FABRICACION DE RELOJES Y OTROS INSTRUMENTOS N.C.O.P.
ESP,48,141110,FABRICACION Y ENVASADO DE ACEITE DE OLIVA
ESP,48,141120,FABRICACION DE ACEITE DE OLIVA
ESP,48,141130,ENVASADO DE ACEITE DE OLIVA
ESP,48,141210,EXTRACCION Y ENVASADO ACEITES DE SEMILLAS OLEOGINOSAS Y DE ORUJO DE ACEITUNA
ESP,48,141220,OBTENCION DE ACEITES Y GRASAS DE ANIMALES MARINOS
ESP,48,141230,"REFINADO, HIDROGENADO, ENVASADO Y OTROS TRAT.SIMILARES CUERPOS GRASOS VEG.Y AN"
ESP,48,141240,OBTENCION Y ENVASADO DE MARGARINA Y GRASAS ALIMENTICIAS SIMILARES
ESP,48,141310,SACRIFICIO Y DESPIECE DE GANADO EN GENERAL
ESP,48,141320,FABRICACION DE PRODUCTOS CARNICOS DE TODAS CLASES
ESP,48,141330,"SALAS DESPIECE AUTONOMAS, INDUSTRIAS DE APROVE.Y TRANSFOR.SUBPRODUCTOS CARNICO"
ESP,48,141340,"INCUBACION Y VENTA DE POLLUELOS RECIEN NACIDOS, MEDIANTE COMPRA HUEVOS FERTILE"
ESP,48,141410,PREPARACION DE LECHE
ESP,48,141420,PREPARACION DE LECHE EN CONSERVA
ESP,48,1414301,FABRICACION DE QUESO Y MANTEQUILLA
ESP,48,1414302,FABRICACION DE QUESO Y MANTEQUILLA (SOLO AGRICOLAS)
ESP,48,141440,ELABORACION DE HELADOS Y SIMILARES
ESP,48,141500,FABRICACION DE JUGOS Y CONSERVAS VEGETALES
ESP,48,141600,FABRICACION DE CONSERVAS DE PESCADO Y OTROS PRODUCTOS MARINOS
ESP,48,141710,FABRICACION DE HARINAS Y SEMOLAS
ESP,48,141720,FABRICACION DE OTROS PRODUCTOS DE MOLINERIA
ESP,48,141810,FABRICACION DE PASTAS ALIMENTICIAS
ESP,48,141820,FABRICACION DE PRODUCTOS AMILACEOS
ESP,48,141910,INDUSTRIA DEL PAN Y DE LA BOLLERIA
ESP,48,141920,"INDUSTRIAS DE LA BOLLERIA, PASTELERIA Y GALLETAS"
ESP,48,141930,INDUSTRIAS DE ELABORACION DE MASAS FRITAS
ESP,48,142000,INDUSTRIA DEL AZUCAR
ESP,48,142110,INDUSTRIA DEL CACAO Y CHOCOLATE
ESP,48,142120,ELABORACION DE PRODUCTOS DE CONFITERIA
ESP,48,142210,"FORRAJES, DESHIDRATADOS, MELAZADOS, ETC., PARA LA ALIMENTACION ANIMAL"
ESP,48,142220,HARINAS DE PESCADO Y DE SUBPRODUCTOS ANIMALES Y OTROS PREP.PARA ELABOR.PIENSOS
ESP,48,142230,"ELABORACION DE PIENSOS COMPUESTOS DE CUALQUIER CLASE, EXCEPTO LOS DEL EP.4224"
ESP,48,142240,"ELABORACION DE OTROS PIENSOS COMPUESTOS PARA PERROS, GATOS Y OTROS ANIM.FAMIL."
ESP,48,142310,ELABORACION DE CAFE Y TE Y SUCEDANEOS DE CAFE
ESP,48,142320,"ELABORACION DE SOPAS PREPARADAS, EXTRACTOS Y CONDIMENTOS"
ESP,48,142330,ELABORACION DE PRODUCTOS DIETETICOS Y DE REGIMEN
ESP,48,1423901,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.O.P.
ESP,48,1423902,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.O.P. (ACTIVIDADES AGRICOLAS)
ESP,48,142410,DESTILACION Y RECTIFICACION DE ALCOHOLES
ESP,48,142420,OBTENCION DE AGUARDIENTES NATURALES
ESP,48,142430,"OBTENCION AGUARDIENTES COMPUESTOS, LICORES Y APERITIVOS NO PROCEDENTES DE VINO"
ESP,48,1425100,ELABORACION Y CRIANZA DE VINOS
ESP,48,1425101,ELABORACION Y CRIANZA DE VINOS (SOLO AGRICOLAS)
ESP,48,142520,ELABORACION DE VINOS ESPUMOSOS
ESP,48,1425300,ELABORACION DE OTROS VINOS ESPECIALES
ESP,48,1425301,ELABORACION DE OTROS VINOS ESPECIALES (SOLO AGRICOLAS)
ESP,48,142590,OTRAS INDUSTRIAS VINICOLAS N.C.O.P.
ESP,48,1426001,SIDRERIAS
ESP,48,1426002,SIDRERIAS (SOLO AGRICOLAS)
ESP,48,142700,FABRICACION DE CERVEZA Y MALTA CERVECERA
ESP,48,142810,PREPARACION Y ENVASADO DE AGUAS MINERALES NATURALES
ESP,48,142820,FABRICACION DE AGUAS GASEOSAS Y OTRAS BEBIDAS ANALCOHOLICAS
ESP,48,142910,ELABORACION DE CIGARROS Y CIGARRILLOS Y OTROS PRODUCTOS DE TABACO
ESP,48,142920,"PRIMERA TRANSFORMACION TABACO SIN ELABORACION DE CIGARROS,CIGARRILLOS,PICADURA"
ESP,48,143110,"PREPARACION DE LAS FIBRAS DE ALGODON (DESMOTADO, CARDADO, PEINADO)"
ESP,48,143120,HILADO Y RETORCIDO DEL ALGODON Y SUS MEZCLAS
ESP,48,143130,TEJIDO DE ALGODON Y SUS MEZCLAS
ESP,48,143210,"PREPARACION DE LAS FIBRAS DE LANA (CLASIFICACION, LAVADO, PEINADO)"
ESP,48,143220,HILADO Y RETORCIDO DE LA LANA Y SUS MEZCLAS
ESP,48,143230,TEJIDO DE LA LANA Y DE SUS MEZCLAS
ESP,48,143300,INDUSTRIA DE SEDA NATURAL Y SUS MEZCLAS DE LAS FIBRAS ARTIFICIALES Y SINTETICA
ESP,48,143400,INDUSTRIA DE LAS FIBRAS DURAS Y SUS MEZCLAS
ESP,48,143510,FABRICACION DE GENEROS DE PUNTO EN PIEZA
ESP,48,143520,FABRICACION DE CALCETERIA
ESP,48,143530,FABRICACION DE PRENDAS INTERIORES Y ROPA DE DORMIR DE PUNTO
ESP,48,143540,FABRICACION DE PRENDAS EXTERIORES DE PUNTO
ESP,48,143600,ACABADO DE TEXTILES
ESP,48,143710,FABRICACION DE ALFOMBRAS Y TAPICES
ESP,48,143720,FABRICACION DE TEJIDOS IMPREGNADOS
ESP,48,143910,CORDELERIA
ESP,48,143920,"FABRICACION DE FIELTROS, TULES, ENCAJES, PASAMANERIA, ETC."
ESP,48,143930,FABRICACION DE TEXTILES CON FIBRAS DE RECUPERACION
ESP,48,143990,OTRAS INDUSTRIAS TEXTILES N.C.O.P.
ESP,48,144100,CURTICION Y ACABADO DE CUEROS Y PIELES
ESP,48,144210,FABRICACION DE ARTICULOS DE MARROQUERIA Y VIAJE
ESP,48,144220,FABRICACION DE GUANTES DE PIEL
ESP,48,144290,FABRICACION DE OTROS ARTICULOS DE CUERO N.C.O.P.
ESP,48,145100,FABRICACION EN SERIE DE CALZADO (EXCEPTO EL DE CAUCHO Y MADERA)
ESP,48,145200,FABRICACION DE CALZADO  ARTESANIA Y A MEDIDA (INCLUIDO EL CALZADO ORTOPEDICO)
ESP,48,145300,CONFECCION EN SERIE DE TODA CLASE DE PRENDAS DE VESTIR Y SUS COMPLEMENTOS
ESP,48,145400,CONFECCION A MEDIDA DE PRENDAS DE VESTIR Y SUS COMPLEMENTOS
ESP,48,145510,"CONFECCION DE ARTICULOS TEXTILES, PARA EL HOGAR Y TAPICERIA"
ESP,48,145590,CONFECCION DE OTROS ARTICULOS CON MATERIAS TEXTILES N.C.O.P.
ESP,48,145610,PELETERIA NATURAL
ESP,48,145620,PELETERIA ARTIFICIAL
ESP,48,146100,"ASERRADO Y PREPARACION INDUSTRIAL MADERA (ASERRADO,CEPILLADO,PULIDO,LAVADO,ET)"
ESP,48,146210,CHAPAS DE MADERA
